Helyiség;Kategória;Szint;Termék;Bolt;Hol kapható;Anyag / szín;Méret;Ár (Ft);Ármegjegyzés;Javasolt db;Összesen (Ft);Link;Miért illik;Mire figyelj;Ellenőrzés módja;Ellenőrizve;Link állapot;Pénznem;Eredeti ár;Eredeti részösszeg;Készlet / feltétel;Forintos költségútban;Ajánlás feltétele;Beköltözési prioritás;Prioritás indoka;Prioritás feltétele;Költségkizárás indoka
00-altalanos-hangulat;Élő növény – olajfa;olcsóbb;Olajfa magassága kb. 55-60 cm, cserépátmérő kb. 14 cm (Olea europaea);OBI;online (obi.hu), átvehető OBI áruházban;élő növény, ezüstös-zöld levelű, műanyag szállítócserépben;magasság kb. 55-60 cm, cserépátmérő kb. 14 cm;5999;;1;5999;https://www.obi.hu/olajfak/olajfa-magassaga-kb-55-60-cm-cserepatmero-kb-14-cm-olea-europaea/p/5248034;Kisebb, asztalra/polcra való olajfa ugyanabból a fajtából – ha a nagy méretű darab egyelőre nem fér bele a büdzsébe, ezzel is behozható a 'valódi élő zöld' elem.;Kis mérete miatt inkább kiegészítő, nem helyettesíti a nagy, tér-meghatározó olajfát.;termékoldal;2026-09-20;200;HUF;5999;5999;;igen;;Prio 2;"Az egész ház végleges textil-, tároló- és dekorcsomagja később is összeállítható; indulásra csak a használt helyiségek alapfunkcióit rendezzük.";;
01-eloszoba;Cipősszekrény;ajánlott;STÄLL Cipősszekrény, 4 részes, tölgy furnér;IKEA;online (ikea.com/hu) + áruház (Budaörs);tölgy furnér felső- és oldallap, fiókfront, tömör tölgy láb átlátszó akril lakkal, polipropilén fiókbetét;96x17x90 cm, kb. 8 pár cipőnek, 4 fiók;59990;;1;59990;https://www.ikea.com/hu/hu/p/staell-ciposszekreny-4-reszes-toelgy-furner-40530229/;Valódi tölgy furnér és tömör tölgy láb – a rögzített 'világos-közép tölgy, matt/olajozott' fatónushoz illik, zárt front rejti a sáros erdei cipőt, a látszó láb könnyűvé teszi a nagy, 10,60 m²-es előszobát.;Falhoz kell rögzíteni (mellékelt szerelvénnyel, előfúrt lyukak) – ezt telepítéskor be kell tartani.;termékoldal;2026-09-20;200;HUF;59990;59990;;igen;;Prio 2;Az alap fogas és cipőhely mellett ez kényelmi vagy végleges tárolási/dekorációs fejlesztés.;;
01-eloszoba;Cipősszekrény;olcsóbb;BISSA Cipősszekrény, 3 részes, tölgyfa hatású;IKEA;online (ikea.com/hu) + áruház (Budaörs);forgácslap, papírfólia tölgy dekorral (nem valódi fa), műanyag élzáró;49x28x135 cm;19990;akciós, eredeti ár 24 990 Ft;1;19990;https://www.ikea.com/hu/hu/p/bissa-ciposszekreny-3-reszes-toelgyfa-hatasu-10530221/;"Karcsú (28 cm mély), magas, zárt cipőtároló – a legolcsóbb elfogadható belépő, ha a keret szűkebb; a magas, keskeny forma jól illik egy szűkebb falszakaszra a nagy előszobában.";"Fólia, nem valódi tölgy furnér – közelről és élettartamban gyengébb, mint a STÄLL; falhoz rögzítendő, a csavarokat a falazat típusához külön kell venni.";termékoldal;2026-09-20;200;HUF;19990;19990;;igen;;Prio 2;Az alap fogas és cipőhely mellett ez kényelmi vagy végleges tárolási/dekorációs fejlesztés.;;
01-eloszoba;Cipősszekrény;prémium;Naia cipőtartó, natúr tölgyfa dekor (Tvilum);Bonami;online (bonami.hu), házhozszállítással;forgácslap, tölgyfa dekor papírfólia, matt felület;109x93x32 cm, 12 pár cipőnek, 2 billenő ajtó + zárt rekesz + 1 fiók;63380;akciós, eredeti ár 81 090 Ft;1;63380;https://www.bonami.hu/p/natur-szinu-billeno-ajtos-cipotarto-tolgyfa-dekorral-109x93x32-cm-naia-tvilum;A legnagyobb és legtöbb funkciót adó zárt tároló a három közül: külön fiók (kulcs, kesztyű), zárt rekesz és két billenő ajtó – a szokatlanul nagy (10,60 m²) előszobában elfér, és a legtöbb cipőt/kiegészítőt rejti zártan.;Ez is dekorfóliás forgácslap, nem valódi tölgy – az ár a méret és a funkció (fiók+rekesz) miatt magasabb, nem az alapanyag miatt.;termékoldal;2026-09-20;200;HUF;63380;63380;;igen;;Prio 2;Az alap fogas és cipőhely mellett ez kényelmi vagy végleges tárolási/dekorációs fejlesztés.;;
01-eloszoba;Csizmatálca;ajánlott;BAGGMUCK Cipőtartó (csizma-/cipőtálca), bel/kültéri, szürke;IKEA;online (ikea.com/hu) + áruház (Budaörs);polipropilén műanyag (min. 20% újrahasznosított anyag), szürke;71x35 cm;1290;/db;1;1290;https://www.ikea.com/hu/hu/p/baggmuck-cipotarto-bel-kuelter-szuerke-60329711/;Magas peremű tálca, ami a sáros/havas cipőről lecsöpögő vizet és sarat összegyűjti – erdős telken ez a zárt cipőszekrény elé/alá kerülve véd a padlótól.;Egyszerű műanyag tálca, nem dekoratív elem – a zárt szekrény elé vagy alá érdemes rejteni.;termékoldal;2026-09-20;200;HUF;1290;1290;;igen;;Prio 1;A nedves, sáros cipőnek már az első naptól legyen kijelölt helye.;;
01-eloszoba;Esernyőtartó;ajánlott;Rattan esernyőtartó keresztfüles;eMAG (eladó: Czinege Manufaktúra Kft.);"online (eMAG Marketplace, raktáron; csomagautomata / futár)";természetes rotáng (rattan), natúr, kézzel fonott;"Ø 29 cm, magasság 76 cm (füllel); 1,16 kg";5863;;1;5863;https://www.emag.hu/rattan-esernyotarto-keresztfules-40-06-13-51/pd/DH4ZNNBBM/;Valódi, natúr rattan fonat – a fekete fém esernyőtartó helyett a wooden coastal előszoba természetes szálas anyagvilágát erősíti, olcsón.;Nincs csepegtetőtálca: az aljába kis kerámia alátét vagy tálka kell, különben a járólapra csöpög. Könnyű, felborulhat – kisbaba mellett sarokba, bútor mellé állítani.;termékoldal;2026-09-20;200;HUF;5863;5863;;igen;;Prio 2;Az alap fogas és cipőhely mellett ez kényelmi vagy végleges tárolási/dekorációs fejlesztés.;;
01-eloszoba;Fali akasztó / fogas;ajánlott;HÖVOLM Fogas+6 gombfogantyú, tölgy;IKEA;online (ikea.com/hu) + áruház (Budaörs);tömör tölgy, átlátszó poliuretán/akril lakkozás;57x5x5 cm, 6 gombfogantyúval;5490;;1;5490;https://www.ikea.com/hu/hu/p/hoevolm-fogas-6-gombfogantyu-toelgy-10500059/;Valódi tömör tölgy, 6 gombbal – a 'fogas tölgyben' igényt hozza, néhány vendégkabátnak elég egy szűkebb falszakaszon is.;Kis méretű (57 cm), nagyobb családi forgalomhoz érdemes a matt fekete TJUSIG-gal kiegészíteni.;termékoldal;2026-09-20;200;HUF;5490;5490;;igen;;Prio 1;Egy alap fogas elég lehet a kabátok napi elhelyezésére.;;
01-eloszoba;Fonott kosár;ajánlott;KNIPSA Kosár, tengerifű, 32x33x32 cm;IKEA;online (ikea.com/hu) + áruház (Budaörs);acélváz köré font tengerifű, kézzel fonott;32x33x32 cm;6990;/db;2;13980;https://www.ikea.com/hu/hu/p/knipsa-kosar-tengerifu-20110540/;Kézzel font, valódi tengerifű kosár sáloknak, kesztyűknek, játéknak – a 'fonott rost minden helyiségben megjelenhet' elvet hozza, és zárt (kosárban rejtett) tárolás a szemmagasság alatt, ami kisgyereknél praktikus.;Nyitott tetejű, nem csukható – ha a tartalmat teljesen rejteni kell, fedeles doboz jobb választás.;termékoldal;2026-09-20;200;HUF;6990;13980;;igen;;Prio 2;Az alap fogas és cipőhely mellett ez kényelmi vagy végleges tárolási/dekorációs fejlesztés.;;
01-eloszoba;Gardróbszekrény (kabátnak);ajánlott;FÅGELFJÄLLET Gardrób 2 ajtóval, törtfehér;IKEA;online (ikea.com/hu) + áruház (Budaörs);forgácslap papírfólia, törtfehér, farostlemez hátlap, sárgaréz hatású fogantyú;82x60x194 cm, akasztórúddal és polcokkal;79990;;1;79990;https://www.ikea.com/hu/hu/p/fagelfjaellet-gardrob-2-ajtoval-toertfeher-40598610/;"Törtfehér (nem hideg fehér) szín illik a ház meleg fehér falához; zárt, akasztórudas belső rejti a nedves kabátot és a sáros lábbelit – az erdős telek miatt ez fontosabb, mint egy nyitott fogas.";"Falhoz kell rögzíteni (felborulás elleni szerelvénnyel); a fogantyú sárgaréz hatású – ha a ház végül a matt fekete vasalat mellett dönt, ezt érdemes lecserélni.";termékoldal;2026-09-20;200;HUF;79990;79990;;igen;;Prio 2;Az alap fogas és cipőhely mellett ez kényelmi vagy végleges tárolási/dekorációs fejlesztés.;;
01-eloszoba;Gardróbszekrény (kabátnak);olcsóbb;KLEPPSTAD Gardrób 2 ajtóval, fehér;IKEA;online (ikea.com/hu) + áruház (Budaörs);forgácslap papírfólia, fehér, farostlemez hátlap dombornyomott akril festékkel;79x55x176 cm;34990;;1;34990;https://www.ikea.com/hu/hu/p/kleppstad-gardrob-2-ajtoval-feher-80437234/;Legolcsóbb zárt, ajtós gardrób a listán – kisebb és sekélyebb, de teljesen elrejti a kabátot és a sáros cipőt, ha a büdzsé szűkebb.;"Alacsonyabb (176 cm) és sekélyebb (55 cm) a másik kettőnél, kevesebb akasztott ruha fér el benne; falhoz rögzítendő.";termékoldal;2026-09-20;200;HUF;34990;34990;;igen;;Prio 2;Az alap fogas és cipőhely mellett ez kényelmi vagy végleges tárolási/dekorációs fejlesztés.;;
01-eloszoba;Gardróbszekrény (kabátnak);prémium;PAX / FORSAND Gardrób, fehérre pácolt tölgy hatás;IKEA;online (ikea.com/hu) + áruház (Budaörs);"PAX váz: forgácslap/farostlemez papírfólia; FORSAND ajtó: forgács-/farostlemez méhsejt papírtöltettel, fehérre pácolt tölgy hatású fólia (nem valódi furnér)";150x60x201,2 cm;175500;;1;175500;https://www.ikea.com/hu/hu/p/pax-forsand-gardrob-feherre-pacolt-toelgy-hatas-feherre-pacolt-toelgy-hatas-s59286091/;"Moduláris PAX rendszer fehérre pácolt tölgy hatású ajtóval – a 'fehér + tölgy' páros hozza a ház alaphangját (fehér fal, krém bézs ajtó, tölgy bútor) a legnagyobb egybefüggő zárt felületen; 150 cm szélesen elég hely több kabátnak és babakocsi-kiegészítőnek is.";"Az ajtó papírfólia, nem valódi tölgy furnér; a PAX beltér (polc, rúd, fiók) külön tétel, ebbe az árba nincs beleszámolva. Falhoz rögzítendő.";termékoldal;2026-09-20;200;HUF;175500;175500;;igen;;Prio 2;Az alap fogas és cipőhely mellett ez kényelmi vagy végleges tárolási/dekorációs fejlesztés.;;
01-eloszoba;Kulcstartó polc;ajánlott;KLAVRESTRÖM Falipolc, tölgy;IKEA;online (ikea.com/hu) + áruház (Budaörs);tömör tölgy, átlátszó akril lakkozás;60x17x20 cm, terhelhetőség 7 kg;13990;;1;13990;https://www.ikea.com/hu/hu/p/klavrestroem-falipolc-toelgy-30601689/;"Valódi tömör tölgy falipolc – kulcsnak, kis tárgyaknak való, a ház egységes tölgy fatónusát hozza az előszoba szemmagasságú falára; a szabály szerint a felület legalább harmada maradjon üresen rajta.";"A rögzítő csavarok/tiplik nincsenek mellékelve, a falazat típusához külön kell választani; 7 kg-os terhelési határ, kulcsnál/apró tárgynál ez bőven elég.";termékoldal;2026-09-20;200;HUF;13990;13990;;igen;;Prio 2;Az alap fogas és cipőhely mellett ez kényelmi vagy végleges tárolási/dekorációs fejlesztés.;;
01-eloszoba;Lábtörlő (kültéri);ajánlott;Lábtörlő NAVR 40x60x3, kókusz natúr/fekete;JYSK;online (jysk.hu) + áruház (Pilisvörösvár, Budaörs);természetes kókuszrost, natúr/fekete;40x60x3 cm;6500;;1;6500;https://jysk.hu/lakberendezes/labtorlok/labtorlo-navr-40x60x3-kokusz-natur-fekete;"Valódi kókuszrost lábtörlő a bejárat külső oldalára – ez fogja fel a sarat és a nedvességet, mielőtt a homokszínű beltéri padlóra kerülne; jól bevált (4,6/5, 41 értékelés).";Csak kültérre/fedett bejáratra való, nem mosógépben mosható – rendszeres kirázást/porszívózást igényel.;termékoldal;2026-09-20;200;HUF;6500;6500;;igen;;Prio 1;A bejárat napi használatához és a behordott sár csökkentéséhez kell.;;
01-eloszoba;Nagy kaspó (olajfának);ajánlott;TÖRNBÄR Kaspó, banánrost, kézzel készült, 32 cm;IKEA;online (ikea.com/hu) + áruház (Budaörs);kézzel font banánrost, lakkozott, polipropilén belső cserép (min. 50% újrahasznosított);Ø 32 cm (max. cserépátmérő), külső Ø 37 cm, magasság 35 cm;13990;akciós, eredeti ár 18 990 Ft;1;13990;https://www.ikea.com/hu/hu/p/toernbaer-kaspo-bananrost-kezzel-keszuelt-70524707/;Nagyméretű, kézzel font natúr kosár-kaspó vízálló belső cseréppel – a nagy előszobában ez adja a padlóra kerülő olajfa/eukaliptusz keretét.;"A brief matt kerámia kaspót kért, de jelenleg elérhető, valóban nagy méretű (Ø35–40 cm+) matt kerámia kültéri/beltéri kaspót egyik ellenőrzött boltban sem találtam készleten (a Praktiker hasonló kerámia és polystone darabjai kifutottak/nem rendelhetők) – ez a fonott kosár-kaspó a stílushoz jobban illő, ténylegesen kapható helyettesítő; kerámia kaspóért érdemes helyi kertészetet/dekorboltot személyesen felkeresni.";termékoldal;2026-09-20;200;HUF;13990;13990;;igen;;Prio 2;Az alap fogas és cipőhely mellett ez kényelmi vagy végleges tárolási/dekorációs fejlesztés.;;
01-eloszoba;Pad;ajánlott;SKOGSTA Pad tárolóval, akác/fekete;IKEA;online (ikea.com/hu) + áruház (Budaörs);tömör akácfa ülőlap és polc, matt fekete tömör akác láb és keret;120x46x45 cm, 2-3 személyes, alsó tárolópolccal;49990;;1;49990;https://www.ikea.com/hu/hu/p/skogsta-pad-taroloval-akac-fekete-10593807/;Tömör fa pad látszó, matt fekete lábbal – pontosan a 'látszó láb + egy fémtípus, matt fekete' formaelvet hozza, alsó polca cipőnek/táskának való nyitott tárolás.;"Az akác gazdag, melegebb barna, idővel tovább sötétedik – ez melegebb tónus, mint a rögzített világos-közép tölgy; helyszínen érdemes mintát nézni a krém bézs ajtó mellett.";termékoldal;2026-09-20;200;HUF;49990;49990;;igen;;Prio 2;Az alap fogas és cipőhely mellett ez kényelmi vagy végleges tárolási/dekorációs fejlesztés.;;
01-eloszoba;Pad;olcsóbb;Pad BADSTED tárolóval, világosszürke szövet/tölgyszínű;JYSK;online (jysk.hu) + áruház (Pilisvörösvár, Budaörs);poliészter szövethuzat, tömör gumifa láb tölgy színben pácolva, MDF+nyírfa furnér váz, PU habszivacs;95x45x37 cm, ülés alatti tárolórekesszel;36900;/db;1;36900;https://jysk.hu/eloszoba/eloszobabutorok/padok/pad-badsted-taroloval-vilagosszurke-szovet-tolgyszinu;Kedvezőbb árú, tölgy színű lábú, tárolós pad – jó belépő megoldás, ha a fa pad ára nem fér a keretbe, és így is jut zárt tárolóhely a huzat alá.;"A láb gumifa, tölgy színben pácolva, nem valódi tölgy; a szövethuzat levehető/mosható volta a termékoldalon nincs feltüntetve – kisbabás háztartáshoz érdemes rákérdezni vásárlás előtt.";termékoldal;2026-09-20;200;HUF;36900;36900;;igen;;Prio 2;Az alap fogas és cipőhely mellett ez kényelmi vagy végleges tárolási/dekorációs fejlesztés.;;
01-eloszoba;Pad;prémium;TOLKNING Pad tárolóval, kézzel készült rattan;IKEA;online (ikea.com/hu) + áruház (Budaörs);kézzel font rattan váz és kötözés, tömör fenyő belső szerkezet, bambuszszál ülőrész, áttetsző akril lakk;120x37x46 cm, rejtett tárolóval az ülés alatt, 130 kg-ig terhelhető;64990;;1;64990;https://www.ikea.com/hu/hu/p/tolkning-pad-taroloval-kezzel-keszuelt-rattan-80512657/;A shopping lista kifejezetten 'fonott üléses' padot kér – ez kézzel font rattannal hozza legjobban a ház 'a fonott rost minden helyiségben megjelenhet' elvét, és zárt tárolóval is jár.;Száraz, egyenletes hőmérsékletű helyre való, csak száraz ruhával tisztítható – nedves kabátot ne rá, hanem a zárt szekrénybe kell tenni.;termékoldal;2026-09-20;200;HUF;64990;64990;;igen;;Prio 2;Az alap fogas és cipőhely mellett ez kényelmi vagy végleges tárolási/dekorációs fejlesztés.;;
01-eloszoba;Szőnyeg;ajánlott;MORUM Szőnyeg, síkszövött, bel/kültéri, bézs;IKEA;online (ikea.com/hu) + áruház (Budaörs);100% polipropilén, szintetikus gumi hátoldal, bézs;200x300 cm, 5 mm vastag;29990;;1;29990;https://www.ikea.com/hu/hu/p/morum-szonyeg-sikszoevoett-bel-kuelteri-bezs-80198295/;Nagy méretű (200x300 cm), mosható/lekefélhető bel-kültéri PP szőnyeg, homok-bézs tónusban – pontosan a brief 'mosható, strapabíró, natúr-bézs' kérése, és a szokatlanul nagy (10,60 m²) előszobában valóban méretes felületet ad.;Nem valódi juta, hanem juta-hatású polipropilén – ez viszont pont a mosható/strapabíró elvárás miatt előny, nem hátrány, kisbabás háztartásban.;termékoldal;2026-09-20;200;HUF;29990;29990;;igen;;Prio 2;Az alap fogas és cipőhely mellett ez kényelmi vagy végleges tárolási/dekorációs fejlesztés.;;
01-eloszoba;Szőnyeg;olcsóbb;FULLMAKT Szőnyeg, síkszövött, bel/kültéri, bézs/kevert;IKEA;online (ikea.com/hu) + áruház (Budaörs);100% poliészter (min. 90% újrahasznosított), bézs/kevert;80x150 cm;16990;;1;16990;https://www.ikea.com/hu/hu/p/fullmakt-szonyeg-sikszoevoett-bel-kuelteri-bezs-kevert-60573114/;Kisebb, kedvezőbb árú mosható futószőnyeg-méret – jó megoldás, ha csak a bejárat elé kell egy kisebb, letörölhető darab a nagy MORUM helyett vagy mellé.;Kézzel, max. 40°C-on mosható, nem szárítógépben – vasalni és vegytisztítani sem szabad.;termékoldal;2026-09-20;200;HUF;16990;16990;;igen;;Prio 2;Az alap fogas és cipőhely mellett ez kényelmi vagy végleges tárolási/dekorációs fejlesztés.;;
01-eloszoba;Tükör;ajánlott;STOCKHOLM Tükör, tölgy furnér, 80 cm;IKEA;online (ikea.com/hu) + áruház (Budaörs);réteg-ragasztott fafurnér, valódi tölgy furnér, színezett lakk;Ø 80 cm, kis polccal az alján;29990;;1;29990;https://www.ikea.com/hu/hu/p/stockholm-tuekoer-toelgy-furner-90591588/;Valódi tölgy furnér keretes, kerek tükör pontosan Ø80 cm-ben – a brief 'nagy kerek tükör világos fa kerettel' kérését hozza, és az ablakkal szemben/arra merőlegesen elhelyezve megduplázza a bejövő fényt.;2 csavarral kell falra szerelni, a csavarokat a falazathoz külön kell választani.;termékoldal;2026-09-20;200;HUF;29990;29990;;igen;;Prio 2;Az alap fogas és cipőhely mellett ez kényelmi vagy végleges tárolási/dekorációs fejlesztés.;;
01-eloszoba;Tükör;olcsóbb;GRINSBOL Tükör, rattan, 55 cm;IKEA;online (ikea.com/hu) + áruház (Budaörs);kézzel font rattan, színezett átlátszó akril lakk;Ø 55 cm;10990;;1;10990;https://www.ikea.com/hu/hu/p/grinsbol-tuekoer-rattan-30518464/;Kézzel font rattan keret – a legolcsóbb, valódi fonott rost opció, jó belépő, ha a keretösszeg szűkebb.;Ø 55 cm valamivel kisebb, mint a kért 60–90 cm-es tartomány – egy szűkebb falszakaszra vagy kiegészítő tükörnek jobb, mint egyedüli nagy fókuszpontnak.;termékoldal;2026-09-20;200;HUF;10990;10990;;igen;;Prio 2;Az alap fogas és cipőhely mellett ez kényelmi vagy végleges tárolási/dekorációs fejlesztés.;;
01-eloszoba;Tükör;prémium;Fali tükör bambusz kerettel, Ø 60 cm, Blush (Hübsch);Bonami;online (bonami.hu), házhozszállítással;kézzel készített bambusz keret;Ø 60 cm;80450;akciós, eredeti ár 85 590 Ft;1;80450;https://www.bonami.hu/p/fali-tukor-bambusz-kerettel-o-60-cm-blush-hubsch-1;Kézzel készített bambusz keret dán dizájnmárkától (Hübsch) – a fonott rost réteget emeli meg minőségben és megjelenésben a másik kettőhöz képest, Ø60 cm éppen a kért mérettartomány alján.;A mérethez (Ø60 cm) képest a legdrágább darab – az árat a márka és a kézműves kivitel indokolja, nem a méret.;termékoldal;2026-09-20;200;HUF;80450;80450;;igen;;Prio 2;Az alap fogas és cipőhely mellett ez kényelmi vagy végleges tárolási/dekorációs fejlesztés.;;
02-konyha;Bárszék;ajánlott;Natúr színű tölgyfa bárszék (ülésmagasság 65 cm) Analy;Bonami (Kave Home);online (bonami.hu), házhozszállítás;tömör tölgyfa váz, kézzel szőtt papírkötél ülőfelület, natúr;ülésmagasság 65 cm;93410;"akciós, eredeti 111 990 Ft; /db";3;280230;https://www.bonami.hu/p/natur-szinu-tolgyfa-barszek-ulesmagassag-65-cm-analy-kave-home;Pontosan a kért anyagpárosítás: tölgyfa váz + fonott papírkötél ülés, FSC-tanúsítvánnyal – ez illik a konyhasziget fa tónusához és a fonott textúra elvhez.;"Csak 1 db azonnal elérhető a fetch idején, rendelhető utánpótlás; ellenőrizd a raktárkészletet vásárlás előtt.";termékoldal;2026-09-20;200;HUF;93410;280230;;igen;;Prio 2;A működő konyha és egy étkezőhely mellett fél évig nélkülözhető kiegészítő.;;
02-konyha;Bárszék;olcsóbb;Natúr színű tölgyfa bárszék (ülésmagasság 65,5 cm) Vander;Bonami (White Label);online (bonami.hu), házhozszállítás;tömör tölgyfa, natúr;ülésmagasság 65,5 cm;66590;/db;3;199770;https://bonami.hu/p/natur-szinu-tolgyfa-barszek-ulesmagassag-65-5-cm-vander-white-label;Tiszta tölgyfa, natúr tónus, a 90 cm-es sziget pulthoz illő 65,5 cm ülésmagasság – jó belépő ár, ha a fonott ülés nem elvárás.;"Nincs rajta fonott/rattan elem, csak tömör fa; a felület fényessége (matt/selyemmatt) az oldalon nincs külön feltüntetve.";termékoldal;2026-09-20;200;HUF;66590;199770;;igen;;Prio 2;A működő konyha és egy étkezőhely mellett fél évig nélkülözhető kiegészítő.;;
02-konyha;Bárszék;alternatíva;Evera háttámlás bárszék, natúr 65;Kave Home;online, magyar régió (kavehome.com/hu), EUR-os ár;"60% gumifa, 38% tölgyfurnér, 2% fém; natúr, vízbázisú felületkezelés";"48 × 48 × 88,5 cm; tényleges ülésmagasság 65,5 cm";;"EUR-os ár; a forintos költségútból kimarad, szállítás és átváltás külön";3;;https://kavehome.com/hu/en/p/evera-stool-with-backrest-in-oak-veneer-with-natural-finish-65cm;"Sima, letörölhető ülésű alternatíva a fonott Analy bárszékhez; három darab 447 € + szállítás.";Nem tömör tölgy. A pultmagasságot, lábteret és a konyhafronthoz illő faárnyalatot ellenőrizni kell.;élő magyar régiós termékoldal;2026-09-20;;EUR;149;447;"Rendelhetőként jelent meg; címre szóló szállítás nincs ellenőrizve.";nem;;Prio 2;A működő konyha és egy étkezőhely mellett fél évig nélkülözhető kiegészítő.;;
02-konyha;Bútorfogantyú (sárgaréz);ajánlott;BAGGANÄS Fogantyú, sárgaréz, 143 mm;IKEA;online + áruház (Budaörs, Örs vezér tere, Soroksár);acél, sárgarézzel futtatott, áttetsző lakkozású („sárgaréz”);hossz 143 mm, furattáv 128 mm, mélység 31 mm, szélesség 9 mm;2490;/2 db (1 245 Ft/db). 6 csomag = 12 fogantyú – a pontos darabszámot a konyhaterv front-/fiókszáma adja.;6;14940;https://www.ikea.com/hu/hu/p/bagganaes-fogantyu-sargarez-00338407/;Vékony, egyenes sárgaréz fogantyú a fa konyhafrontokra – olcsón hozza a ház egységes sárgaréz fémét, és illik a SALLSJÖN csaphoz.;"Futtatott (nem tömör) sárgaréz, a felület „sárgaréz” – nem szálcsiszoltként jelölt; a kilincsekhez mintával összenézni. Ha a konyhabútor-gyártó saját fogantyút ad, nem kell.";termékoldal;2026-09-20;200;HUF;2490;14940;;igen;felületi minta és végleges furatkiosztás után;Prio 1;A fogantyút igénylő frontok napi használatához szükséges, a végleges furatkiosztással.;Csak a ténylegesen fogantyús frontokhoz és ha a rendelés nem tartalmazza.;
02-konyha;Bútorfogantyú (sárgaréz);ajánlott;BAGGANÄS Fogantyú, sárgaréz, 21 mm;IKEA;online + áruház (Budaörs, Örs vezér tere, Soroksár);acél, sárgarézzel futtatott, áttetsző lakkozású („sárgaréz”);gombfogantyú Ø 21 mm, mélység 24 mm;1990;/2 db (995 Ft/db). A 20 mm-es BAGGANÄS gomb „utolsó esély” státuszú, ezért a 21 mm-es szerepel.;2;3980;https://www.ikea.com/hu/hu/p/bagganaes-fogantyu-sargarez-00338412/;A felső szekrényajtókra a rúdfogantyúval azonos sárgaréz gomb – egy család, egy tónus.;Kicsi gomb: gyerekzáras alsó szekrényre nem ideális. Darabszám a konyhaterv szerint.;termékoldal;2026-09-20;200;HUF;1990;3980;;igen;felületi minta és végleges furatkiosztás után;Prio 1;A fogantyút igénylő frontok napi használatához szükséges, a végleges furatkiosztással.;Csak a ténylegesen fogantyús frontokhoz és ha a rendelés nem tartalmazza.;
02-konyha;Bútorfogantyú (sárgaréz);ajánlott;BAGGANÄS Fogantyú, sárgaréz, 335 mm;IKEA;online + áruház (Budaörs, Örs vezér tere, Soroksár);acél, sárgarézzel futtatott („sárgaréz”);hossz 335 mm, furattáv 320 mm, mélység 31 mm, szélesség 9 mm;4490;/2 db (2 245 Ft/db) – széles fiókokra, magas szekrényajtóra;2;8980;https://www.ikea.com/hu/hu/p/bagganaes-fogantyu-sargarez-20338411/;A széles fiókfrontokra (sziget, edényes fiók) arányosabb a hosszú változat, ugyanabból a sárgaréz családból.;"Csak akkor kell, ha vannak 60 cm-nél szélesebb fiókok; darabszám a konyhaterv szerint.";termékoldal;2026-09-20;200;HUF;4490;8980;;igen;felületi minta és végleges furatkiosztás után;Prio 1;A fogantyút igénylő frontok napi használatához szükséges, a végleges furatkiosztással.;Csak a ténylegesen fogantyús frontokhoz és ha a rendelés nem tartalmazza.;
02-konyha;Bútorfogantyú (sárgaréz);prémium;HAFELE Bútor fogantyú - 155.01 - Szálcsiszolt sárgaréz I.;Fogantyúshop.hu;online rendelés (külső raktár, 5–14 nap);zamak fémötvözet, szálcsiszolt sárgaréz felület (Häfele, német);"furattáv 160 mm, 169 × 28 × 9 mm (cikkszám 155.02.290); további méretek: 96 / 192 / 224 / 320 mm";1546;/db (160 mm). 96 mm: 1 034 Ft, 192 mm: 1 701 Ft, 224 mm: 1 977 Ft, 320 mm: 3 046 Ft. M4 csavarral.;12;18552;https://fogantyushop.hu/webshop/hafele-butor-fogantyu-15501-szalcsiszolt-sargarez-i-zamak-fem-otvozet-tobb-meretben-gyartott-szines-fem-butorfogantyu/7288;Kifejezetten „szálcsiszolt sárgaréz” felületű Häfele fogantyú – ez áll a legközelebb a már felszerelt szálcsiszolt sárgaréz kilincsekhez, több méretben az egész konyhára.;128 mm-es furattáv nincs a sorozatban (96 vagy 160 mm) – a frontok fúrása előtt dönteni. Külső raktáras, 1–2 hét.;termékoldal;2026-09-20;200;HUF;1546;18552;;igen;felületi minta és végleges furatkiosztás után;Prio 1;A fogantyút igénylő frontok napi használatához szükséges, a végleges furatkiosztással.;Csak a ténylegesen fogantyús frontokhoz és ha a rendelés nem tartalmazza.;
02-konyha;Gyümölcskosár;ajánlott;KANELMOTT Kosár zöldséghez/gyümölcshöz, 2 db, bambusz;IKEA;online (ikea.com/hu) + áruház (Budaörs, Örs vezér tere, Soroksár);bambusz és rattan, natúr;34x34x24 cm (2 szintes);14990;/2 db szett;1;14990;https://www.ikea.com/hu/hu/p/kanelmott-kosar-zoeldseghez-gyuemoelcshoez-2-db-bambusz-00581800/;Fonott bambusz/rattan, szellőző kialakítás – pontosan a kért „gyümölcskosár rattanból” elv, két szinten extra tárolóhellyel.;;termékoldal;2026-09-20;200;HUF;14990;14990;;igen;;Prio 2;A működő konyha és egy étkezőhely mellett fél évig nélkülözhető kiegészítő.;;
